producto_db,nombre_producto,precio
Funda Laptop 15 pulgadas,"Funda TECHBAG para Portátil 15"" Pulgadas
5.0
(7)",39900
Funda Laptop 15 pulgadas,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas X1504VA - Intel Core 5 - RAM 24GB - Disco SSD 1 TB - Azul
4.9
(12)",3199050
Funda Laptop 15 pulgadas,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas X1504VA - Intel Core i3 - RAM 8GB - Disco SSD 512GB - Plateado
4.5
(4)",1679050
Funda Laptop 15 pulgadas,"Computador Portátil ACER Aspire 15.6"" Pulgadas R95V - AMD Ryzen 5 - RAM 16GB - Disco SSD 512GB - Plateado
5.0
(1)",2299030
Funda Laptop 15 pulgadas,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas X1504VA-Tactil - Intel Core 5 - RAM 24GB - Disco SSD 512GB - Azul
5.0
(2)",2359050
Funda Laptop 15 pulgadas,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas X1504VA - Intel Core 5 - RAM 8GB - Disco SSD 512GB - Azul",1999050
Funda Laptop 15 pulgadas,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas X1502VA - Intel Core i5 - RAM 8GB - Disco SSD 1TB - Azul
4.7
(7)",2069050
Funda Laptop 15 pulgadas,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas X1504VA-Tactil - Intel Core 5 - RAM 16GB - Disco SSD 512GB - Azul
5.0
(2)",2349050
Funda Laptop 15 pulgadas,"Computador Portátil HP ProBook 15.6"" Pulgadas PB450 G10 - Intel Core i7 - RAM 16GB - Disco SSD 1 TB - Plateado
5.0
(2)",5649070
Soporte para Monitor,"Soporte Ergonómico EMMTECGNOLOGY Escualizable para Monitor Tipo Brazo 10""-30""",159900
Soporte para Monitor,"Soporte TECHNOSOPORTES Escualizable Doble BRAZO para Monitor de 10"" a 32"" + 2 Correas de Velcro
4.5
(2)",189900
Mouse Inalambrico,Magic Mouse APPLE Inalámbrico Ergonómico USB-C Blanco,549000
Mouse Inalambrico,"Mouse HP Inalámbrico Óptico 150 Negro
4.8
(98)",39900
Mouse Inalambrico,"Mouse MAXELL Inalámbrico Ergonómico Vertical Negro
5.0
(2)",84900
Mouse Inalambrico,"Mouse LENOVO Inalámbrico Óptico GX300 Negro
5.0
(27)",39900
Mouse Inalambrico,"Mouse TRUST Inalámbrico Óptico Ergonómico Vertical Bayo Negro con Gris
5.0
(11)",149900
Mouse Inalambrico,"Magic Mouse APPLE Inalámbrico Ergonómico Multi-Touch Negro
5.0
(1)",629010
Mouse Inalambrico,"Mouse LOGITECH Inalámbrico Óptico Ergonómico Vertical Lift Rosado
4.8
(4)",359900
Mouse Inalambrico,"Mouse HP Inalámbrico Óptico Bluetooth|USB 400 Negro
5.0
(3)",69900
Mouse Inalambrico,"Mouse HP Inalámbrico Bluetooth|USB Óptico 400 Morado
4.7
(3)",69900
Mouse Inalambrico,"Mouse XKIM Inalámbrico Ergonómico Vertical X Recargable Negro
4.3
(6)",78900
Mouse Inalambrico,"Mouse HP Inalámbrico Optico 200-Negro
4.9
(108)",49900
Mouse Inalambrico,"Mouse ACER inalámbrico Óptico AMR100 Azul|Verde
5.0
(6)",49900
Mouse Inalambrico,"Mouse HP Inalámbrico Óptico Bluetooth|USB 400 Azul
5.0
(1)",69900
Mouse Inalambrico,"Mouse LOGITECH Inalámbrico USB|Bluetooth Ergonómico Lift Vertical Negro
5.0
(18)",329900
Mouse Inalambrico,"Mouse HP Inalámbrico Óptico Bluetooth|USB 400 Rosado
5.0
(1)",69900
Mouse Inalambrico,"Mouse ASUS Inalámbrico Laser Ergonómico WT425 Negro Mate
5.0
(5)",69900
Mouse Inalambrico,"Mouse LOGITECH Inalámbrico Óptico M280 Negro
4.8
(42)",89900
Mouse Inalambrico,"Mouse HP Inalambrico Optico 200-Negro/Plata
4.7
(35)",54900
Mouse Inalambrico,Mouse MAXELL Inalámbrico Óptico Bluetooth 100 Negro,18900
Mouse Inalambrico,"Mouse LENOVO Inalámbrico Óptico 530 Gris
5.0
(18)",59900
Mouse Inalambrico,"Mouse ESENSES Inalámbrico Óptico Bluetooth WOM-2010 Negro
1.0
(1)",33900
Mouse Inalambrico,"Mouse HP Inalámbrico Bluetooth|USB Óptico Z3700 Negro
4.9
(17)",79900
Mouse Inalambrico,Mouse ACER inalámbrico Óptico AMR100 Durazno|Naranja,49900
Mouse Inalambrico,"Mouse LOGITECH Inalámbrico Óptico Mediano M650 Gris
5.0
(7)",179900
Mouse Inalambrico,"Mouse KALLEY Inalámbrico Óptico Ergonómico USB K-MIN Negro
5.0
(4)",28900
